fecha,margen_utilidad_neta,margen_utilidad_operacional,ciclo_caja,margen_utilidad_antes_impuestos,ciclo_operacion,rentabilidad_operativa,operaciones_discontinuadas,pib,margen_utilidad_bruta,nivel_endeudamiento
2019-01-01,0.01,0.03,0.0,0.01,0.01,0.23,73607.0,0.3,0.23,0.24
2019-02-01,0.01,0.03,0.0,0.01,0.01,0.23,73607.0,0.3,0.23,0.24
2019-03-01,0.01,0.03,0.0,0.01,0.01,0.23,73607.0,0.3,0.23,0.24
2019-04-01,0.02,0.03,0.0,0.01,0.01,0.23,485152.0,0.3,0.23,0.43
2019-05-01,0.02,0.03,0.0,0.01,0.01,0.23,485152.0,0.3,0.23,0.43
2019-06-01,0.02,0.03,0.0,0.01,0.01,0.23,485152.0,0.3,0.23,0.43
2019-07-01,0.07,0.04,0.01,0.0,0.01,0.25,789995.0,0.16,0.25,0.72
2019-08-01,0.07,0.04,0.01,0.0,0.01,0.25,789995.0,0.16,0.25,0.72
2019-09-01,0.07,0.04,0.01,0.0,0.01,0.25,789995.0,0.16,0.25,0.72
2019-10-01,0.06,0.04,-0.17,0.01,-0.17,0.26,774838.0,0.26,0.26,0.17
2019-11-01,0.06,0.04,-0.17,0.01,-0.17,0.26,774838.0,0.26,0.26,0.17
2019-12-01,0.06,0.04,-0.17,0.01,-0.17,0.26,774838.0,0.26,0.26,0.17
2020-01-01,0.01,0.03,0.0,0.01,0.0,0.25,-254.0,-0.6,0.25,0.39
2020-02-01,0.01,0.03,0.0,0.01,0.0,0.25,-254.0,-0.6,0.25,0.39
2020-03-01,0.01,0.03,0.0,0.01,0.0,0.25,-254.0,-0.6,0.25,0.39
2020-04-01,0.01,0.03,0.0,0.01,0.0,0.25,-831.0,-5.5,0.25,0.56
2020-05-01,0.01,0.03,0.0,0.01,0.0,0.25,-831.0,-5.5,0.25,0.56
2020-06-01,0.01,0.03,0.0,0.01,0.0,0.25,-831.0,-5.5,0.25,0.56
2020-07-01,0.01,0.03,0.0,0.01,0.0,0.25,-1021.0,3.26,0.25,0.52
2020-08-01,0.01,0.03,0.0,0.01,0.0,0.25,-1021.0,3.26,0.25,0.52
2020-09-01,0.01,0.03,0.0,0.01,0.0,0.25,-1021.0,3.26,0.25,0.52
2020-10-01,0.02,0.04,0.0,0.02,0.0,0.25,-1201.0,2.46,0.25,0.55
2020-11-01,0.02,0.04,0.0,0.02,0.0,0.25,-1201.0,2.46,0.25,0.55
2020-12-01,0.02,0.04,0.0,0.02,0.0,0.25,-1201.0,2.46,0.25,0.55
2021-01-01,2.63,0.04,0.0,0.03,0.0,0.27,-5.0,1.0,0.27,0.48
2021-02-01,2.63,0.04,0.0,0.03,0.0,0.27,-5.0,1.0,0.27,0.48
